Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
22000,0.58157456,0.6572657,63.405666,-0.090588786,0.00016961379,1.561587126703671,149.5,1.5615871381014585,0.7698418990476057,111.33916288614273,3.6072605,0.19194435,0.27322388,0.4718356,1.4036654,0.47445467,0.5374572,0.01758163
22500,0.8754685,0.6159554,61.84233,-0.12631309,0.00016659858,1.5860045563531457,270.0,1.605364725459367,1.6201647035777569,207.4027624130249,4.5584497,0.2946635,0.19657163,0.35136437,1.4757075,0.5003135,0.51438445,0.017031519
23000,0.81722635,0.6335455,62.640476,-0.16159609,0.00016348778,1.6810029842308722,276.0,1.6141435764729977,0.915212344378233,179.7594165802002,1.3471946,0.3638801,0.12396897,0.19314462,1.2871995,0.45031565,0.5433812,0.017030165
23500,0.8729299,0.7383136,59.64591,-0.1929891,0.00016045128,1.2862438431184273,264.0,1.2862438820302486,0.7483287788927555,130.9580054283142,1.9746195,0.20319195,0.13758713,0.25661594,0.9943166,0.3595181,0.62717485,0.016529808
24000,0.774503,0.6791171,61.0401,-0.2265827,0.00015752862,1.6087550948068383,137.25,1.608755104476586,0.539349609054625,99.67730981111526,4.6612844,0.13422316,0.20152721,0.2923255,1.2552803,0.42190877,0.58032864,0.016202627
24500,0.5032834,0.5625818,62.983753,-0.25669518,0.00015458617,1.7056359915113717,303.5,1.694236883893609,1.0915381461381912,214.93524742126465,4.1848087,0.2649771,0.12470095,0.2632016,1.1626791,0.39959297,0.5844161,0.016502807
25000,0.22986415,0.6772657,61.460674,-0.2886059,0.00015147167,-0.2784418882074533,239.0,0.38671709845463437,0.9068660140037537,178.7761656443278,5.003648,0.3064264,0.15061434,0.18707964,1.4636631,0.46569434,0.52042043,0.015911551
25500,0.7445069,0.91997194,62.212364,-0.3208644,0.00014843093,1.7234774405278586,96.5,1.7234774350654334,0.2783294403925538,72.68538750708103,3.1628397,0.16375566,0.14174591,0.25519997,1.3919265,0.4707747,0.5363689,0.015650775
26000,0.19046794,0.5046557,65.99771,-0.35169536,0.00014560272,1.1391016326015233,291.0,1.1391017101705074,0.9538848400115967,212.24833297729492,1.081089,0.1959762,0.11554667,0.22173603,1.3843948,0.47744408,0.5203549,0.015436104
26500,0.6791071,0.9253866,66.16401,-0.38179764,0.00014260507,1.4731331527194318,249.66666666666666,1.4731331855679553,0.5074150698880354,189.18894290924072,2.280097,0.20535842,0.09224227,0.14927435,1.3783522,0.46858233,0.52140754,0.015304623
